Primary_Accession,Domain,Color,Darkness,Disorder,Compositional_Bias,Transmembrane,Length,Evolutionary_Re-use,Interactions,Coding_Potential
Q9H478,Eukaryota,Dark,100%,100%,0%,0%,68,1,0,2.28
P12277,Eukaryota,Non-dark,0%,11%,0%,0%,381,173,32,9.62
P06732,Eukaryota,Non-dark,0%,13%,0%,0%,381,173,30,9.2
P17540,Eukaryota,Non-dark,6%,4%,0%,0%,419,171,18,7.47
P12532,Eukaryota,Non-dark,9%,6%,0%,0%,417,173,48,6.67
Q8NC54,Eukaryota,Dark,100%,55%,0%,8%,265,48,0,6.02
Q719H9,Eukaryota,Non-dark,54%,7%,0%,0%,257,544,6,3.16
Q14681,Eukaryota,Non-dark,40%,32%,0%,0%,263,534,0,4.68
Q9Y597,Eukaryota,Non-dark,41%,30%,0%,0%,815,459,4,11.77
Q8WVF5,Eukaryota,Non-dark,65%,10%,0%,0%,259,540,0,2.32
Q9NXV2,Eukaryota,Non-dark,14%,9%,0%,0%,234,561,2,5.28
Q8NC69,Eukaryota,Non-dark,62%,3%,0%,0%,237,538,0,1.57
Q96MP8,Eukaryota,Non-dark,69%,13%,0%,0%,289,480,0,4.11
Q6ZWB6,Eukaryota,Non-dark,71%,37%,3%,0%,473,496,0,7.83
Q7L273,Eukaryota,Non-dark,24%,2%,0%,0%,389,1370,0,2.55
P30085,Eukaryota,Non-dark,0%,6%,0%,0%,196,753,50,2.95
Q6UW63,Eukaryota,Non-dark,77%,2%,0%,0%,502,378,4,8.08
Q7Z4H8,Eukaryota,Non-dark,78%,4%,0%,0%,507,380,2,6.8
Q8NAX2,Eukaryota,Dark,100%,51%,23%,0%,398,12,0,7.78
Q9ULH0,Eukaryota,Non-dark,77%,30%,0%,5%,1771,5142,24,9.3
O60341,Eukaryota,Non-dark,0%,27%,5%,0%,852,690,6,7.39
Q8NB78,Eukaryota,Non-dark,4%,6%,0%,0%,822,799,4,5.51
Q9Y2K7,Eukaryota,Non-dark,23%,25%,0%,0%,1162,869,2,11.97
Q8NHM5,Eukaryota,Non-dark,42%,39%,5%,0%,1336,882,28,17.77
Q9Y4C1,Eukaryota,Non-dark,72%,20%,0%,0%,1321,224,18,16.35
Q7LBC6,Eukaryota,Non-dark,79%,42%,6%,0%,1761,221,0,19.79
O75164,Eukaryota,Non-dark,43%,23%,0%,0%,1064,843,14,11.72
O94953,Eukaryota,Non-dark,47%,31%,7%,0%,1096,846,4,10.36
Q9H3R0,Eukaryota,Non-dark,44%,25%,0%,0%,1056,846,6,10.51
Q6B0I6,Eukaryota,Non-dark,31%,30%,1%,0%,523,441,2,6.59
B2RXH2,Eukaryota,Non-dark,31%,17%,1%,0%,506,440,0,6.53
P29375,Eukaryota,Non-dark,59%,17%,6%,0%,1690,670,4,16.72
Q9UGL1,Eukaryota,Non-dark,56%,16%,0%,0%,1544,575,40,13.63
P41229,Eukaryota,Non-dark,61%,24%,0%,0%,1560,640,16,19.53
Q9BY66,Eukaryota,Non-dark,61%,18%,0%,0%,1539,636,108,17.88
O15550,Eukaryota,Non-dark,37%,39%,1%,0%,1401,2515,72,15.06
O15054,Eukaryota,Non-dark,69%,67%,49%,0%,1643,132,6,23.07
Q6ZMT4,Eukaryota,Non-dark,48%,35%,3%,0%,941,445,0,9.36
Q8N371,Eukaryota,Non-dark,41%,3%,0%,0%,416,703,0,4.69
Q06136,Eukaryota,Non-dark,22%,6%,0%,13%,332,5134,62,3.18
Q14145,Eukaryota,Non-dark,11%,3%,0%,0%,624,3518,42,6.61
P23276,Eukaryota,Non-dark,13%,10%,0%,3%,732,576,14,6.63
O60938,Eukaryota,Non-dark,11%,1%,5%,0%,352,4258,102,4.76
Q63HM1,Eukaryota,Non-dark,6%,0%,0%,0%,303,2230,46,3.54
Q13976,Eukaryota,Non-dark,2%,8%,0%,0%,671,9974,22,9.03
Q13237,Eukaryota,Non-dark,16%,18%,0%,0%,762,9978,28,10.86
Q16774,Eukaryota,Non-dark,2%,20%,0%,0%,197,2493,48,3.59
Q587J8,Eukaryota,Non-dark,48%,46%,0%,0%,217,21,2,2.24
Q4VXA5,Eukaryota,Non-dark,62%,5%,0%,17%,237,12,6,3.03
Q5JSQ8,Eukaryota,Non-dark,31%,0%,0%,0%,128,11,6,2.95
Q07666,Eukaryota,Non-dark,47%,74%,29%,0%,443,286,66,5.63
Q5VWX1,Eukaryota,Non-dark,46%,63%,15%,0%,349,286,8,4.81
O75525,Eukaryota,Non-dark,45%,53%,18%,0%,346,283,40,5.8
P50053,Eukaryota,Non-dark,0%,5%,0%,0%,298,NA,80,5.43
O15037,Eukaryota,Non-dark,75%,40%,0%,0%,678,146,0,9.02
Q9H1H9,Eukaryota,Non-dark,71%,26%,0%,0%,1805,2841,8,12.99
Q9NQT8,Eukaryota,Non-dark,66%,35%,0%,0%,1826,3099,12,19.34
Q96L93,Eukaryota,Non-dark,50%,16%,36%,0%,1317,2902,0,17.17
Q8NI77,Eukaryota,Non-dark,56%,25%,0%,0%,898,2746,110,8.45
Q86Y91,Eukaryota,Non-dark,60%,54%,5%,0%,864,2751,110,9.51
O95235,Eukaryota,Non-dark,62%,15%,0%,0%,890,2736,90,7.47
Q96Q89,Eukaryota,Non-dark,82%,26%,0%,0%,1820,2734,110,17.21
Q7Z4S6,Eukaryota,Non-dark,57%,39%,0%,0%,1674,7013,6,15.61
O75037,Eukaryota,Non-dark,54%,28%,0%,0%,1637,7083,30,20.22
Q9ULI4,Eukaryota,Non-dark,83%,61%,0%,0%,1882,2739,74,22.43
Q2KJY2,Eukaryota,Non-dark,85%,54%,10%,0%,2108,2744,2,23.65
P43626,Eukaryota,Non-dark,36%,25%,0%,5%,348,236,60,3.59
P43627,Eukaryota,Non-dark,42%,18%,0%,5%,348,247,50,3.81
P43628,Eukaryota,Non-dark,26%,23%,0%,6%,341,249,34,3.66
Q99706,Eukaryota,Non-dark,39%,32%,0%,6%,377,289,42,3.23
Q8N109,Eukaryota,Non-dark,48%,36%,2%,6%,375,279,34,3.44
Q8NHK3,Eukaryota,Non-dark,48%,35%,2%,6%,375,254,34,3.71
Q14954,Eukaryota,Non-dark,35%,23%,0%,6%,304,251,60,3.46
P43631,Eukaryota,Non-dark,34%,23%,0%,7%,304,242,34,3.23
Q14952,Eukaryota,Non-dark,35%,22%,0%,6%,304,257,34,3.29
P43632,Eukaryota,Non-dark,35%,25%,0%,7%,304,241,34,3.42
Q14953,Eukaryota,Non-dark,35%,29%,0%,6%,304,244,34,3.33
P43629,Eukaryota,Non-dark,33%,22%,0%,5%,444,662,42,3.58
P43630,Eukaryota,Non-dark,36%,14%,0%,4%,455,472,50,4.11
Q8N743,Eukaryota,Non-dark,29%,12%,0%,5%,410,741,32,3.76
A8MWS1,Eukaryota,Non-dark,8%,1%,0%,0%,328,590,0,3.74
Q14943,Eukaryota,Non-dark,24%,16%,0%,5%,387,678,52,3.16
Q9H7L2,Eukaryota,Non-dark,9%,0%,0%,0%,352,704,0,2.85
P46013,Eukaryota,Non-dark,96%,90%,0%,0%,3256,306,92,26.54
Q9Y6Z4,Eukaryota,Dark,100%,32%,0%,0%,181,3,0,5.38
Q8N7Y1,Eukaryota,Dark,100%,51%,11%,0%,241,2,0,7.46
Q8IX03,Eukaryota,Non-dark,79%,33%,5%,0%,1113,276,24,14.85
P52732,Eukaryota,Non-dark,63%,18%,0%,0%,1056,2756,78,10.84
Q96FN5,Eukaryota,Non-dark,46%,37%,19%,0%,646,2762,0,5.61
Q15058,Eukaryota,Non-dark,69%,28%,0%,0%,1648,2797,110,14.63
Q9NS87,Eukaryota,Non-dark,73%,29%,0%,0%,1388,2762,110,14.95
Q9P2E2,Eukaryota,Non-dark,66%,36%,0%,0%,1029,2778,34,15.56
Q2TAC6,Eukaryota,Non-dark,63%,46%,0%,0%,998,2753,0,11.57
Q12756,Eukaryota,Non-dark,61%,17%,0%,0%,1690,2868,6,23.7
O60333,Eukaryota,Non-dark,64%,17%,0%,0%,1816,2869,12,17.08
O43896,Eukaryota,Non-dark,51%,43%,11%,0%,1103,2819,12,13.52
Q14807,Eukaryota,Non-dark,29%,29%,0%,0%,665,3067,92,6.95
Q02241,Eukaryota,Non-dark,54%,38%,0%,0%,960,2686,108,5.94
Q5T7B8,Eukaryota,Non-dark,77%,53%,0%,0%,1368,2721,6,11.26
Q9UIL4,Eukaryota,Non-dark,21%,23%,0%,0%,384,2754,110,3.04
Q86VH2,Eukaryota,Non-dark,76%,25%,0%,0%,1401,2776,0,10.23
B7ZC32,Eukaryota,Non-dark,54%,13%,0%,0%,967,2803,0,NA
O00139,Eukaryota,Non-dark,42%,33%,0%,0%,706,2749,110,7.37
Q8N4N8,Eukaryota,Non-dark,47%,12%,0%,0%,673,2747,110,6.35
Q99661,Eukaryota,Non-dark,49%,33%,0%,0%,725,2743,110,8.79
Q9Y496,Eukaryota,Non-dark,48%,37%,0%,0%,699,2795,50,9.71
O15066,Eukaryota,Non-dark,51%,41%,4%,0%,747,2786,50,10.75
O14782,Eukaryota,Non-dark,52%,46%,2%,0%,793,2790,74,11.3
O95239,Eukaryota,Non-dark,71%,28%,0%,0%,1232,2793,110,14.12
Q2VIQ3,Eukaryota,Non-dark,71%,24%,0%,0%,1234,2793,42,14.36
Q12840,Eukaryota,Non-dark,65%,30%,0%,0%,1032,2725,82,13.21
O60282,Eukaryota,Non-dark,61%,37%,0%,0%,957,2796,76,13.12
Q6ZMV9,Eukaryota,Non-dark,55%,18%,0%,0%,814,2775,0,7.97
Q2M1P5,Eukaryota,Non-dark,73%,39%,1%,0%,1343,2785,0,18.56
Q9HAQ2,Eukaryota,Non-dark,54%,16%,0%,0%,790,2770,4,7.49
Q92845,Eukaryota,Non-dark,35%,4%,0%,0%,792,57,58,14.47
Q9BW19,Eukaryota,Non-dark,40%,53%,0%,0%,673,2715,116,7.74
Q96AC6,Eukaryota,Non-dark,60%,54%,32%,0%,838,2737,0,7.1
Q9BVG8,Eukaryota,Non-dark,56%,36%,0%,0%,833,2759,46,10.29
B2CW77,Eukaryota,Dark,100%,27%,0%,0%,178,1,0,0.29
Q03426,Eukaryota,Non-dark,0%,0%,0%,0%,396,387,78,3.61
O60870,Eukaryota,Non-dark,40%,24%,0%,0%,393,111,4,3.48
P33176,Eukaryota,Non-dark,62%,38%,0%,0%,963,2815,32,11.8
Q96J84,Eukaryota,Non-dark,38%,25%,0%,3%,757,2686,66,10.38
Q6UWL6,Eukaryota,Non-dark,19%,18%,11%,3%,708,2753,16,7.66
Q8IZU9,Eukaryota,Non-dark,25%,14%,9%,3%,778,2665,16,10.09
Q8TBQ9,Eukaryota,Dark,100%,0%,0%,25%,72,NA,0,0.59
Q9NRX6,Eukaryota,Dark,100%,0%,0%,28%,74,62,0,0.29
Q15726,Eukaryota,Dark,100%,77%,0%,0%,138,11,92,1.91
Q969F8,Eukaryota,Non-dark,25%,7%,0%,37%,398,3927,110,3.65
P04183,Eukaryota,Non-dark,0%,5%,0%,0%,234,159,68,4.21
O00142,Eukaryota,Non-dark,17%,11%,0%,0%,265,237,62,2.67
P10721,Eukaryota,Non-dark,7%,3%,0%,2%,976,9932,66,10.87
Q2M2Z5,Eukaryota,Dark,100%,70%,0%,0%,673,23,2,11.03
Q8N5S9,Eukaryota,Non-dark,40%,34%,0%,0%,505,9985,68,6.97
Q96RR4,Eukaryota,Non-dark,50%,37%,0%,0%,588,9989,52,5.45
Q5H943,Eukaryota,Dark,100%,4%,0%,16%,113,4,0,1.52
Q8NEE0,Eukaryota,Dark,100%,74%,0%,0%,82,1,0,2.73
Q07866,Eukaryota,Non-dark,45%,34%,0%,0%,573,2469,44,7.44
Q9H0B6,Eukaryota,Non-dark,36%,42%,0%,0%,622,2391,84,7.18
Q6P597,Eukaryota,Non-dark,10%,39%,2%,0%,504,2242,18,6.97
Q9NSK0,Eukaryota,Non-dark,13%,41%,0%,0%,619,2297,0,6.77
Q6PID8,Eukaryota,Non-dark,29%,16%,6%,0%,442,2048,10,3.92
Q5VTJ3,Eukaryota,Non-dark,47%,40%,1%,2%,777,1131,0,10.79
Q96G42,Eukaryota,Non-dark,26%,39%,0%,0%,594,1232,0,8.72
Q8IYD2,Eukaryota,Non-dark,1%,0%,0%,0%,350,1931,0,3.46
Q8IXV7,Eukaryota,Non-dark,0%,1%,0%,0%,354,1882,0,4.61
Q8N7A1,Eukaryota,Non-dark,27%,2%,0%,0%,406,2131,2,5.28
Q9Y2U9,Eukaryota,Non-dark,27%,3%,0%,0%,406,2108,2,4.16
Q9BQ90,Eukaryota,Non-dark,17%,1%,0%,0%,382,2167,6,4.16
Q8TBB5,Eukaryota,Non-dark,33%,45%,0%,0%,520,1906,0,7.61
Q8NEP7,Eukaryota,Non-dark,13%,16%,0%,0%,349,1580,0,9.41
Q13118,Eukaryota,Non-dark,76%,43%,0%,0%,480,4791,42,4.2
O14901,Eukaryota,Non-dark,74%,33%,0%,0%,512,4878,16,4.96
Q9Y4X4,Eukaryota,Non-dark,69%,62%,0%,0%,402,5339,4,3.17
Q9Y2Y9,Eukaryota,Non-dark,63%,75%,66%,0%,288,5287,20,2.36
Q8TD94,Eukaryota,Non-dark,62%,69%,0%,0%,323,5298,0,3.06
Q9UIH9,Eukaryota,Non-dark,65%,49%,0%,0%,416,4871,30,5.09
Q9BXK1,Eukaryota,Non-dark,57%,65%,67%,0%,252,5480,2,3.24
Q5JT82,Eukaryota,Non-dark,59%,83%,0%,0%,389,5474,2,2.32
Q13351,Eukaryota,Non-dark,54%,59%,73%,0%,362,4644,36,3.67
Q9Y5W3,Eukaryota,Non-dark,75%,65%,8%,0%,355,4516,26,3.93
P57682,Eukaryota,Non-dark,55%,47%,73%,0%,345,4963,10,3.71
O43474,Eukaryota,Non-dark,79%,66%,51%,0%,513,4323,68,4.3
Q13887,Eukaryota,Non-dark,77%,59%,0%,0%,457,4219,66,4.88
Q99612,Eukaryota,Non-dark,69%,36%,0%,0%,283,5218,46,3.79
O75840,Eukaryota,Non-dark,71%,12%,0%,0%,302,4985,0,2.45
O95600,Eukaryota,Non-dark,75%,53%,0%,0%,359,5027,34,3.49
Q13886,Eukaryota,Non-dark,56%,50%,14%,0%,244,5471,6,2.18
Q6JEL2,Eukaryota,Non-dark,4%,0%,0%,0%,608,3599,8,5.78
Q9NVR0,Eukaryota,Non-dark,11%,6%,0%,0%,708,2805,2,4.88
Q53G59,Eukaryota,Non-dark,1%,1%,0%,0%,568,3694,74,5.51
Q9P2N7,Eukaryota,Non-dark,13%,3%,0%,0%,655,3533,58,2.75
Q9P2G3,Eukaryota,Non-dark,10%,11%,0%,0%,628,3289,0,5.63
Q96M94,Eukaryota,Non-dark,4%,1%,0%,0%,604,3312,6,3.8
Q6TDP4,Eukaryota,Non-dark,11%,15%,6%,0%,642,3451,0,7.53
O94889,Eukaryota,Non-dark,3%,1%,0%,0%,574,3679,6,5.95
Q9Y2M5,Eukaryota,Non-dark,9%,13%,0%,0%,609,NA,92,4.51
Q9UJP4,Eukaryota,Non-dark,2%,6%,0%,0%,597,3460,72,5.26
Q53GT1,Eukaryota,Non-dark,11%,5%,0%,0%,634,3490,98,6.85
Q8NBE8,Eukaryota,Non-dark,2%,0%,0%,0%,558,3518,0,4.11
Q6TFL4,Eukaryota,Non-dark,7%,0%,0%,0%,600,3521,6,3.82
Q9H0H3,Eukaryota,Non-dark,5%,2%,0%,0%,589,3435,0,7.96
Q53HC5,Eukaryota,Non-dark,8%,7%,0%,0%,615,3409,0,7.87
Q9NXS3,Eukaryota,Non-dark,2%,1%,0%,0%,571,3653,0,3.93
Q96CT2,Eukaryota,Non-dark,35%,32%,3%,0%,875,3023,0,9.02
Q0D2K2,Eukaryota,Non-dark,3%,3%,0%,0%,578,3423,0,8.68
Q9H511,Eukaryota,Non-dark,12%,1%,0%,0%,634,3285,4,3.19
Q96NJ5,Eukaryota,Non-dark,9%,0%,0%,0%,620,3369,0,4.52
A6NCF5,Eukaryota,Non-dark,8%,2%,0%,0%,533,2105,0,4.77
Q8N239,Eukaryota,Non-dark,9%,7%,3%,0%,644,3359,0,6.23
Q6PF15,Eukaryota,Dark,100%,9%,0%,0%,363,NA,0,4.66
Q8N4N3,Eukaryota,Non-dark,6%,4%,0%,0%,616,3378,0,7.7
Q2WGJ6,Eukaryota,Non-dark,0%,0%,0%,0%,581,3678,0,6.24
Q2TBA0,Eukaryota,Non-dark,6%,5%,1%,0%,621,3392,0,8.51
O60662,Eukaryota,Non-dark,4%,2%,0%,0%,606,3505,0,7.07
Q9P2K6,Eukaryota,Non-dark,13%,4%,0%,0%,505,2128,2,5.59
Q9NR64,Eukaryota,Non-dark,25%,22%,6%,0%,748,3170,4,4.22
O95198,Eukaryota,Non-dark,6%,5%,0%,0%,593,3566,8,3.78
Q9UH77,Eukaryota,Non-dark,4%,1%,0%,0%,587,3626,110,4.95
Q9C0H6,Eukaryota,Non-dark,22%,19%,0%,0%,718,3227,0,5.7
Q96PQ7,Eukaryota,Non-dark,26%,8%,0%,0%,755,3091,0,5.67
Q8WZ60,Eukaryota,Non-dark,10%,2%,0%,0%,621,3484,0,6.76
Q8IXQ5,Eukaryota,Non-dark,3%,3%,0%,0%,586,3260,110,4
Q9P2G9,Eukaryota,Non-dark,10%,6%,0%,0%,620,3427,22,4.77
Q9P2J3,Eukaryota,Non-dark,8%,3%,0%,0%,617,3536,96,4.66
O43240,Eukaryota,Non-dark,8%,4%,0%,0%,276,3109,0,2.76
Q9UBX7,Eukaryota,Non-dark,20%,10%,0%,0%,282,3110,0,4.18
Q9UKR0,Eukaryota,Non-dark,9%,0%,0%,0%,248,3171,0,2.79
Q9UKR3,Eukaryota,Non-dark,12%,7%,0%,0%,277,3147,2,3.8
Q9P0G3,Eukaryota,Non-dark,15%,3%,0%,0%,267,3157,4,4.31
Q9H2R5,Eukaryota,Non-dark,11%,17%,0%,0%,256,3174,0,2.67
P06870,Eukaryota,Non-dark,7%,2%,0%,0%,262,3153,14,5.02
P20151,Eukaryota,Non-dark,5%,0%,0%,0%,261,3178,32,3
P07288,Eukaryota,Non-dark,3%,0%,0%,0%,261,3177,36,3.51
Q9Y5K2,Eukaryota,Non-dark,12%,0%,0%,0%,254,3131,8,3.56
Q9Y337,Eukaryota,Non-dark,23%,14%,0%,0%,293,3058,4,3.71
Q92876,Eukaryota,Non-dark,8%,2%,0%,0%,244,3180,6,2.77
P49862,Eukaryota,Non-dark,11%,1%,0%,0%,253,3166,4,3.22
O60259,Eukaryota,Non-dark,13%,11%,0%,0%,260,3152,2,2.37
Q9UKQ9,Eukaryota,Non-dark,10%,0%,0%,0%,250,3177,0,2.77
P03952,Eukaryota,Non-dark,3%,3%,0%,0%,638,2994,66,4.58
Q86Z14,Eukaryota,Non-dark,16%,0%,0%,2%,1044,567,16,8.46
Q9UEF7,Eukaryota,Non-dark,14%,7%,0%,2%,1012,568,36,10.27
Q12918,Eukaryota,Non-dark,44%,5%,0%,9%,225,1265,52,2.58
Q13241,Eukaryota,Non-dark,28%,0%,0%,12%,179,1346,72,1.4
Q9NZS2,Eukaryota,Non-dark,49%,0%,0%,9%,232,1224,4,1.94
D3W0D1,Eukaryota,Non-dark,30%,0%,0%,10%,207,1325,0,1.33
Q96E93,Eukaryota,Non-dark,39%,2%,2%,11%,195,1189,62,1.44
A4D1S0,Eukaryota,Non-dark,70%,52%,35%,5%,409,919,0,7.24
Q5SVS4,Eukaryota,Non-dark,2%,0%,0%,41%,291,1996,0,2.63
O15229,Eukaryota,Non-dark,17%,0%,0%,8%,486,1431,40,4.86
Q03164,Eukaryota,Non-dark,73%,71%,3%,0%,3969,1864,62,27.04
Q9UMN6,Eukaryota,Non-dark,76%,65%,17%,0%,2715,1886,60,22.83
Q8NEZ4,Eukaryota,Non-dark,82%,66%,27%,0%,4911,1844,44,31.25
O14686,Eukaryota,Non-dark,85%,74%,53%,0%,5537,1960,62,46.88
Q8IZD2,Eukaryota,Non-dark,88%,77%,22%,0%,1858,1190,66,14.17
A6PVL3,Eukaryota,Dark,100%,25%,0%,34%,124,6,16,2.79
P01042,Eukaryota,Non-dark,47%,38%,14%,0%,644,133,52,5.76
Q1ED39,Eukaryota,Dark,100%,79%,52%,0%,458,33,0,6.32
P50748,Eukaryota,Dark,100%,2%,0%,0%,2209,71,110,23.05
P46020,Eukaryota,Non-dark,70%,7%,0%,0%,1223,120,80,15.25
P46019,Eukaryota,Non-dark,71%,8%,0%,0%,1235,120,86,16.28
Q93100,Eukaryota,Non-dark,67%,4%,0%,0%,1093,114,74,13.24
P17252,Eukaryota,Non-dark,2%,10%,0%,0%,672,9986,24,11.8
P05771,Eukaryota,Non-dark,3%,14%,0%,0%,671,9985,32,8.27
Q15139,Eukaryota,Non-dark,32%,13%,2%,0%,912,9987,36,7.52
Q9BZL6,Eukaryota,Non-dark,26%,16%,0%,0%,878,9985,4,10.32
O94806,Eukaryota,Non-dark,30%,11%,0%,0%,890,9987,10,7.25
Q05655,Eukaryota,Non-dark,5%,1%,0%,0%,676,9986,70,13.47
Q02156,Eukaryota,Non-dark,7%,16%,0%,0%,737,9986,30,12.46
P05129,Eukaryota,Non-dark,7%,10%,0%,0%,697,9986,54,11.67
P41743,Eukaryota,Non-dark,10%,12%,0%,0%,596,9985,68,8.19
P24723,Eukaryota,Non-dark,5%,6%,0%,0%,683,9986,80,9.64
Q04759,Eukaryota,Non-dark,4%,2%,0%,0%,706,9986,46,10.36
Q05513,Eukaryota,Non-dark,13%,9%,0%,0%,592,9986,50,9.17
Q14558,Eukaryota,Non-dark,3%,4%,0%,0%,356,312,2,4.65
O60256,Eukaryota,Non-dark,3%,2%,0%,0%,369,309,0,4.43
Q5T749,Eukaryota,Dark,100%,15%,79%,0%,579,5,6,3.56
P11801,Eukaryota,Non-dark,37%,18%,0%,0%,424,9989,6,5.72
Q96QS6,Eukaryota,Non-dark,31%,15%,0%,0%,385,9989,0,4.69
Q9Y664,Eukaryota,Dark,100%,4%,0%,0%,436,33,0,10.57
P14618,Eukaryota,Non-dark,0%,4%,0%,0%,531,396,40,11.01
P30613,Eukaryota,Non-dark,6%,2%,0%,0%,574,391,42,9.98
P60331,Eukaryota,Dark,100%,0%,1%,0%,282,14,2,2.71
P60368,Eukaryota,Dark,100%,0%,2%,0%,255,16,0,2.97
P60369,Eukaryota,Dark,100%,0%,0%,0%,221,14,2,2.06
P60372,Eukaryota,Dark,100%,0%,0%,0%,401,15,2,3.73
P60370,Eukaryota,Dark,100%,0%,0%,0%,271,14,0,3.2
P60371,Eukaryota,Dark,100%,0%,2%,0%,365,17,2,3.91
P60409,Eukaryota,Dark,100%,0%,0%,0%,375,18,0,3.59
P60410,Eukaryota,Dark,100%,0%,0%,0%,259,17,0,2.41
P60411,Eukaryota,Dark,100%,0%,0%,0%,292,16,0,3.53
P60014,Eukaryota,Dark,100%,0%,0%,0%,251,18,0,3.12
P60412,Eukaryota,Dark,100%,0%,0%,0%,298,16,0,3.4
P60413,Eukaryota,Dark,100%,0%,0%,0%,245,16,0,2.01
Q8IUC1,Eukaryota,Dark,100%,0%,0%,0%,163,18,8,1.13
P59990,Eukaryota,Dark,100%,0%,0%,0%,96,2,0,1.43
P59991,Eukaryota,Dark,100%,0%,0%,0%,146,6,0,0.94
P60328,Eukaryota,Dark,100%,0%,0%,0%,96,2,0,1.22
P60329,Eukaryota,Dark,100%,0%,0%,0%,112,4,0,1.73
Q8IUC0,Eukaryota,Dark,100%,0%,0%,0%,172,13,0,3.15
Q52LG2,Eukaryota,Dark,100%,0%,0%,0%,175,13,0,2.6
Q3SY46,Eukaryota,Dark,100%,0%,0%,0%,172,13,0,1.46
Q3LI77,Eukaryota,Dark,100%,0%,0%,0%,160,13,0,1.73
Q3LI76,Eukaryota,Dark,100%,0%,0%,0%,137,10,0,1.17
A8MUX0,Eukaryota,Dark,100%,2%,1%,0%,517,16,0,2.8
Q9BYP8,Eukaryota,Dark,100%,0%,0%,0%,105,2,0,1.17
Q8IUB9,Eukaryota,Dark,100%,0%,0%,0%,90,14,0,-0.3
Q3LHN2,Eukaryota,Dark,100%,0%,0%,0%,52,6,0,-0.19
Q7Z4W3,Eukaryota,Dark,100%,0%,0%,0%,81,12,0,-0.06
Q3LI73,Eukaryota,Dark,100%,0%,0%,0%,84,14,0,0.47
Q3LI72,Eukaryota,Dark,100%,0%,0%,0%,72,13,0,-0.55
Q3LI70,Eukaryota,Dark,100%,0%,0%,0%,58,12,0,0.83
Q3SYF9,Eukaryota,Dark,100%,0%,0%,0%,63,15,10,-0.76
Q3LI54,Eukaryota,Dark,100%,0%,0%,0%,63,12,24,-0.45
Q3LI63,Eukaryota,Dark,100%,0%,0%,0%,56,12,0,-0.43
Q3LI61,Eukaryota,Dark,100%,0%,0%,0%,65,16,0,0.78
Q3LI60,Eukaryota,Dark,100%,0%,0%,0%,44,11,24,0.25
Q3LI62,Eukaryota,Dark,100%,0%,0%,0%,44,1,24,0.74
Q3LI58,Eukaryota,Dark,100%,0%,0%,0%,79,9,6,-0.21
Q3LI59,Eukaryota,Dark,100%,0%,0%,0%,83,14,6,-0.22
Q3LHN1,Eukaryota,Dark,100%,0%,0%,0%,58,1,0,0.52
Q3MIV0,Eukaryota,Dark,100%,0%,0%,0%,48,11,0,0.16
Q3LI68,Eukaryota,Dark,100%,0%,0%,0%,45,12,0,0.85
A1A580,Eukaryota,Dark,100%,0%,0%,0%,65,6,10,0.34
Q3LI83,Eukaryota,Dark,100%,1%,0%,0%,254,11,12,4.3
Q3LHN0,Eukaryota,Dark,100%,0%,0%,0%,102,3,0,3.58
Q6PEX3,Eukaryota,Dark,100%,0%,0%,0%,210,20,12,0.85
Q3LI81,Eukaryota,Dark,100%,3%,0%,0%,207,9,12,4.31
A8MX34,Eukaryota,Dark,100%,0%,0%,0%,341,16,0,1.63
Q9BYQ6,Eukaryota,Dark,100%,0%,0%,0%,195,16,0,2.72
Q9BQ66,Eukaryota,Dark,100%,0%,0%,0%,201,16,0,2.69
Q6L8G5,Eukaryota,Dark,100%,0%,0%,0%,202,9,0,0.71
Q6L8G4,Eukaryota,Dark,100%,0%,0%,0%,156,7,0,0.93
A6NCN2,Eukaryota,Non-dark,9%,0%,0%,0%,255,397,0,7.42
Q07627,Eukaryota,Dark,100%,0%,0%,0%,177,11,2,1.41
Q8IUG1,Eukaryota,Dark,100%,0%,0%,0%,177,12,4,1.28
P0C5Y4,Eukaryota,Dark,100%,0%,0%,0%,121,7,2,1.66
Q9BYS1,Eukaryota,Dark,100%,0%,0%,0%,174,12,2,1.44
Q9BYU5,Eukaryota,Dark,100%,0%,0%,0%,128,6,0,2.03
Q9BYT5,Eukaryota,Dark,100%,0%,0%,0%,123,5,0,1.9
P0C7H8,Eukaryota,Dark,100%,0%,0%,0%,128,6,0,1.63
Q9BYR9,Eukaryota,Dark,100%,0%,0%,0%,128,NA,0,1.56
Q9BYR8,Eukaryota,Dark,100%,0%,0%,0%,98,4,0,1.56
Q9BYR7,Eukaryota,Dark,100%,0%,0%,0%,98,4,0,1.94
Q9BYR6,Eukaryota,Dark,100%,0%,0%,0%,98,4,0,2.05
Q9BYQ7,Eukaryota,Dark,100%,0%,0%,0%,146,12,0,2.28
Q9BYR5,Eukaryota,Dark,100%,0%,0%,0%,136,9,0,1.95
Q9BYR4,Eukaryota,Dark,100%,0%,0%,0%,195,15,2,2.25
Q9BYR3,Eukaryota,Dark,100%,0%,0%,0%,166,13,0,3.17
Q9BYR2,Eukaryota,Dark,100%,0%,0%,0%,181,15,0,1.28
Q9BYQ5,Eukaryota,Dark,100%,0%,0%,0%,205,14,0,2.16
Q9BYR0,Eukaryota,Dark,100%,0%,0%,0%,210,18,0,2.05
Q9BYQ9,Eukaryota,Dark,100%,0%,0%,0%,185,15,0,2.62
